Place.of.residence,far_right_rate,right_leaning_rate,left_leaning_rate,enterprise_birth_rate,enterprise_death_rate,income,unemployment_rate,marital_rate,foreign_born_rate,religious_ppl_rate,crime_rate,daily_activity_limit_rate,long_term_illness_rate,university_rate,female_rate,population_density
Lääneranna rural municipality,0.28377329192546585,0.48951863354037267,0.21739130434782608,0.9,21,1261,0.0396700706991359,0.2908232118758435,0.05322294500295683,0.1303370786516854,2.749410840534171e-4,0.34122287968441817,0.378698224852071,0.13540260908681961,0.5089690518430908,3.7
Pärnu city,0.24407943505910812,0.5636533884748937,0.1745932659669931,0.9,21.3,1403,0.03435697643329132,0.3321499474483242,0.1458251972194017,0.21882297991592714,0.0015812994156067378,0.3079476664713923,0.3618433899628979,0.2171902370664487,0.5378036397719285,61
Sillamäe city,0.032736256948733784,0.09820877084620136,0.4694255713403335,2.2,19,1245,0.05027304850626405,0.4306384517996021,0.7962858750703433,0.4692585895117541,0.0011725024092515259,0.4316720257234727,0.4340836012861736,0.20546210888044855,0.545220676903288,1008.3
Rõuge rural municipality,0.30228408279800145,0.4068522483940043,0.27587437544610993,0,21,1307,0.03247687564234327,0.30117924528301887,0.06766454787779373,0.2688679245283019,2.466598150051388e-4,0.38114754098360654,0.42213114754098363,0.17358490566037735,0.49313102316998153,5.2
Loksa city,0.1143317230273752,0.4557165861513688,0.34782608695652173,1.9,26.2,1276,0.0530157510564733,0.4023718763235917,0.6432122370936902,0.3855932203389831,0.00291970802919708,0.2633587786259542,0.33969465648854963,0.15374841168996187,0.5105162523900574,683.2
Kose rural municipality,0.19204631261011829,0.6259753335011327,0.16159073747797634,0.3,23.1,1597,0.031983492391023986,0.3525361101780316,0.06777613743121728,0.13949579831932774,0.0017539334537013153,0.2295302013422819,0.2993288590604027,0.2173328854551562,0.5098644477251376,14.6
Rapla rural municipality,0.22361459203564465,0.5797827903091061,0.17752715121136173,0.5,20.7,1511,0.029435813573180702,0.3386098981077147,0.06258976491042406,0.1592356687898089,2.2299858767561138e-4,0.29856386999244144,0.3401360544217687,0.19823508005822416,0.5168191095320885,15.7
Narva-Jõesuu city,0.060861423220973786,0.39232209737827717,0.2631086142322097,1.7,21.1,1236,0.04708362614195362,0.44679695982627576,0.7068263473053892,0.5679347826086957,0.0013586319981260249,0.3397129186602871,0.41626794258373206,0.249185667752443,0.5195209580838324,10.6
Otepää rural municipality,0.2069672131147541,0.6179742388758782,0.16159250585480095,0.2,20.4,1378,0.02770820288040075,0.333208325520345,0.05578711125360693,0.14634146341463414,2.817783343769568e-4,0.33814102564102566,0.3541666666666667,0.2053253328333021,0.5091375440846425,12.3
Elva rural municipality,0.23366902558519326,0.5826075122482308,0.16657593903102885,0.6,21,1450,0.028930902240462894,0.33516980511471095,0.08438158699938805,0.17023026315789475,3.902307744062437e-4,0.3636981645139361,0.39157036029911624,0.19398075816133542,0.5133609845651731,20.3
Kanepi rural municipality,0.2636617471080973,0.5157558835261269,0.206222576785002,0.6,14.4,1389,0.03166404671008309,0.3054973821989529,0.06360187458156662,0.17015706806282724,3.143947900291938e-4,0.375,0.3794642857142857,0.18219895287958116,0.5025663914304843,8.5
